Name,ClusterNo,Property,Degree,Visited,Border
"""D""",1,保护,1,true,false
"""C""",1,高密度,5,true,false
"""B""",1,边界,2,true,false
"""A""",1,噪声,1,true,false
"""S""",2,保护,1,true,false
"""R""",2,保护,1,true,false
"""Q""",2,保护,1,true,false
"""P""",2,保护,1,true,false
"""O""",2,高密度,5,true,false
"""N""",2,边界,3,true,true
"""M""",3,保护,1,true,false
"""L""",3,保护,1,true,false
"""K""",3,保护,1,true,false
"""J""",3,保护,1,true,false
"""I""",3,高密度,5,true,false
"""H""",3,边界,3,true,true
"""G""",1,边界,3,true,true
"""F""",1,保护,1,true,false
"""E""",1,保护,1,true,false
